t,lx,ly,lz,ax,ay,az,lvx,lvy,lvz,avx,avy,avz,lax,lay,laz,aax,aay,aaz,target_lx,target_ly,target_lz,target_ax,target_ay,target_az,target_lvx,target_lvy,target_lvz,target_avx,target_avy,target_avz,target_lax,target_lay,target_laz,target_aax,target_aay,target_aaz
11.0,-0.005176627347940943,0.00024099325207318156,0.2509071793648105,-0.0007577969084459011,-0.004331567233600036,-0.0003602899140022847,-0.04072916625770207,0.01564279492791658,1.2572574083797554,-0.016102491399330822,-0.04840420776971042,-0.005007511335253395,5.009208725743842,-0.6282348638759688,30.915961067543215,0.9202905784396288,4.321748346116578,0.1864772835245754,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,-0.004748422498589314,0.000143632698198544,0.24775947079673014,-0.0006185958989267159,-0.0038004291032611576,-0.0003145895715026527,-0.06764886368922737,0.018752969782336506,1.028389223655015,-0.021273884023185245,-0.07287570914005656,-0.005697810292938307,4.993875110974728,-0.5754619117744704,35.70099418311233,0.8470530016995921,4.179918129122515,0.13814802499010123,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,-0.004234575405924002,3.601405360327183e-05,0.24558738830288374,-0.00045689020528003076,-0.003172917486450372,-0.00027729149716705816,-0.09180168578065777,0.021319190526047558,0.8034953429230964,-0.025427119995997165,-0.09361890488286391,-0.005868205751454603,4.769678300989082,-0.4958784809851068,38.52143408328303,0.72868709037793,3.843082478537045,0.08340615630363717,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,-0.0036554083704989633,-7.79923714725211e-05,0.24425444200192398,-0.0002851244300818098,-0.0025015958849262812,-0.0002492153665267386,-0.11241076170515255,0.023238304701650267,0.5929721718123101,-0.02833714546084585,-0.1097109533346651,-0.005589028647727689,4.357388960262635,-0.3936204064113352,39.38266969646217,0.5736770894768634,3.342029775100284,0.02755953736067819,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,-0.003029700319155289,-0.00019465636041459961,0.24360939343424934,-0.00011526411845910628,-0.0018318169233373666,-0.00023002361299909277,-0.12900974945102614,0.02445114645170442,0.40446741393489904,-0.029905065610184575,-0.1207635407599259,-0.004962829419417449,3.7881153109041237,-0.27402057660043444,38.44290438717788,0.3931192755292266,2.718687975806132,-0.024424322568873814,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,-0.002374531752217401,-0.0003105327911664198,0.2434968199369041,4.268833541988014e-05,-0.0011970521273072402,-0.0002186881108912369,-0.14139738018028083,0.02493911023037023,0.24295135736080728,-0.030154182983919885,-0.12687691483149768,-0.004105805600823877,3.0991099970867713,-0.14310101188881044,35.97228045201339,0.19937350846460963,2.0203574880228468,-0.06842783515123482,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,-0.001705274571135116,-0.0004225534116551719,0.24376649305323933,0.0001816349565024311,-0.0006174187947196624,-0.00021385293421082266,-0.1495858701605458,0.024718794538934916,0.11093265088468911,-0.02921179028956238,-0.12853830410905934,-0.00313291240999837,2.32994584088941,-0.007089086859604656,32.3110139307721,0.004722155840473363,1.2941569273823648,-0.10150197902407021,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,-0.001035659510376585,-0.0005280749989320005,0.24428108183357633,0.00029772023167566825,-0.00010073381165559384,-0.00021408065592809012,-0.15374940840781745,0.0238355549477812,0.00877898455065552,-0.027280682372114187,-0.1264891382246087,-0.002147348951712222,1.519337291344336,0.12800465024779697,27.830323245144044,-0.1798030038957782,0.5823474703949275,-0.1219966300325618,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,-0.00037787502077364253,-0.0006248954891662402,0.24492186473181368,0.0003901244308332778,0.00035480294564765944,-0.00021799524529140146,-0.15417688556925105,0.022356689576530784,-0.06489472889043058,-0.024605553397982056,-0.12158606703315862,-0.0012342446002948256,0.7027407041201426,0.2567239173053168,22.898742622263946,-0.3453046873543145,-0.08101784047114283,-0.12952944156943216,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0002573307822157873,-0.0007112489191931262,0.24559231419882654,0.00046045000437263826,0.00075718846974982,-0.00022434705101196943,-0.15123127181062185,0.020364822573160024,-0.1128050938791344,-0.021439592345657475,-0.11467675399097635,-0.00045785870774227636,-0.08924801892567927,0.3744092001287647,17.855342829659232,-0.4855451991818468,-0.6719224376501991,-0.12483343161452062,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
